Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,MOD,Link,Max HP,Crit.Rate,Crit.Damage,Armor Pen.,Damage,Accuracy,Evasion,Rate of Fire,Armor,Rounds,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Score Prediction (1-Fairy),Score Prediction (2-Fairy),Score Prediction (3-Fairy),Score Prediction (4-Fairy),Rank
814,Ele.4,Day,20061,AR,StG44 Mod,116,3,5,645,20%,100%,15,106,88,43,90,0,0,200,1,10,10,Red Dot (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),Processor Chip (Body) (5-Star),6276,549,658,768,878,20
814,Ele.4,Day,20001,HG,SAA Mod,117,3,5,415,40%,150%,8,51,53,128,50,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3991,548,658,768,878,21
814,Ele.4,Day,206,AR,AK-12,100,0,5,550,20%,100%,15,102,80,55,99,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6249,546,656,765,874,22
814,Ele.4,Day,243,AR,64 Shiki,100,0,5,625,68%,118%,15,106,66,46,88,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6233,545,654,763,872,23
814,Ele.4,Day,330,AR,FX-05,91,0,5,525,20%,100%,15,89,83,46,91,0,0,100,0,8,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5184,544,653,762,870,24
814,Ele.4,Day,1027,AR,Angelica,100,0,5,605,78%,150%,15,93,60,69,75,0,0,100,0,10,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6211,543,652,760,869,25
814,Ele.4,Day,118,AR,9A-91,100,0,5,580,68%,150%,15,80,52,53,103,0,0,100,0,10,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6206,543,651,760,868,26
814,Ele.4,Day,20060,AR,AS Val Mod,116,3,5,675,20%,100%,15,92,67,53,97,0,0,100,0,10,10,EOT (Holographic) (5-Star),Sp. Eq (Exclusive) (5-Star),Processor Chip (Body) (5-Star),6136,536,644,751,859,27
814,Ele.4,Day,242,HG,P22,100,0,5,350,50%,150%,8,45,90,136,62,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3902,536,643,751,858,28
814,Ele.4,Day,328,SMG,AR-57,100,0,5,915,5%,100%,8,58,45,78,116,0,0,100,0,10,0,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5964,536,644,751,858,29
814,Ele.4,Day,4,HG,Python,100,0,5,350,70%,150%,8,62,106,107,49,0,0,100,0,10,0,RMR (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),3898,535,643,750,857,30
814,Ele.4,Day,294,HG,Webley,100,0,5,430,20%,150%,8,40,70,129,57,0,0,100,0,10,0,SF Taclight (Acc) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3892,535,642,749,856,31
814,Ele.4,Day,233,HG,Px4 Storm,100,0,5,340,40%,150%,8,52,73,143,57,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3872,532,638,745,851,32
814,Ele.4,Day,306,AR,AK-Alfa,100,0,5,580,20%,100%,15,94,86,55,99,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6079,531,638,744,851,33
814,Ele.4,Day,96,HG,Grizzly,100,0,5,430,50%,150%,8,55,74,100,54,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),3864,531,637,743,850,34
814,Ele.4,Day,20026,SMG,Gr MP5 Mod,115,3,5,900,5%,150%,8,52,30,148,90,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7069,530,636,742,848,35
814,Ele.4,Day,73,AR,AUG,100,0,5,605,30%,100%,15,101,74,49,96,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6054,529,635,741,847,36
814,Ele.4,Day,250,HG,HS2000,100,0,5,360,50%,150%,8,50,85,112,62,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3839,527,633,739,844,37
814,Ele.4,Day,274,AR,ACR,100,0,5,580,30%,100%,15,100,71,51,98,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6033,527,633,739,844,38
814,Ele.4,Day,1017,HG,Jill Stingray,100,0,5,400,50%,150%,8,41,76,136,55,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3828,526,631,736,842,39
814,Ele.4,Day,1018,HG,Sei Asagiri,100,0,5,425,50%,150%,8,47,82,115,53,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),3827,526,631,736,841,40
814,Ele.4,Day,20032,SMG,Micro Uzi Mod,115,3,5,880,5%,100%,8,67,50,87,128,0,0,100,0,10,10,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7000,525,630,735,840,41
814,Ele.4,Day,196,AR,Zas M21,100,0,5,605,20%,100%,15,96,83,46,98,0,0,150,1,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5997,524,629,734,839,42
814,Ele.4,Day,20064,AR,Gr G36 Mod,115,3,5,645,20%,100%,15,89,81,47,99,0,0,100,0,8,8,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5980,523,627,732,837,43
814,Ele.4,Day,272,HG,Desert Eagle,100,0,5,365,70%,150%,8,59,80,90,55,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3803,522,627,732,836,44
814,Ele.4,Day,236,AR,K11,100,0,5,675,20%,100%,15,99,71,39,97,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5958,521,625,729,834,45
814,Ele.4,Day,303,HG,HP-35,100,0,5,380,50%,150%,8,48,88,114,58,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3795,521,626,730,834,46
814,Ele.4,Day,20101,SMG,UMP9 Mod,115,3,5,900,5%,175%,8,56,33,138,87,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6945,520,625,729,833,47
814,Ele.4,Day,194,AR,K2,100,0,5,635,20%,100%,15,96,68,45,99,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5908,516,620,723,827,48
814,Ele.4,Day,142,HG,Five-seven,100,0,5,315,50%,150%,8,48,80,122,66,0,0,100,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3757,516,619,723,826,49
814,Ele.4,Day,172,AR,Am RFB,100,0,5,525,78%,118%,15,108,72,52,79,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5883,514,617,720,823,50
814,Ele.4,Day,338,AR,SIG MCX,100,0,5,580,20%,100%,15,92,71,46,104,0,0,73,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5873,513,616,719,822,51
814,Ele.4,Day,20103,SMG,UMP45 Mod,116,3,5,970,30%,175%,8,49,17,138,83,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6847,513,616,718,821,52
814,Ele.4,Day,166,HG,CZ75,94,0,5,320,50%,150%,8,55,82,94,65,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3730,512,615,718,820,53
814,Ele.4,Day,20171,AR,Ribeyrolles Mod,104,1,5,585,20%,100%,15,103,79,42,92,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5855,512,614,717,819,54
814,Ele.4,Day,20005,HG,M1895 Mod,117,3,5,355,40%,150%,8,46,55,153,45,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),T Exo (Body) (5-Star),3712,510,612,714,816,55
814,Ele.4,Day,106,AR,FAL,100,0,5,660,20%,100%,15,95,76,40,96,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5820,509,611,712,814,56
814,Ele.4,Day,357,HG,Rhino,100,0,5,365,70%,150%,8,49,97,97,57,0,0,73,0,10,0,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3704,509,611,713,814,57
814,Ele.4,Day,119,AR,OTs-14,100,0,5,550,20%,100%,15,95,71,57,96,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5792,506,608,709,810,58
814,Ele.4,Day,1029,AR,Agent 416,100,0,5,605,20%,100%,15,89,79,47,100,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5779,505,606,707,809,59
814,Ele.4,Day,129,AR,Type95,100,0,5,580,20%,100%,15,93,85,49,95,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5776,505,606,707,808,60
814,Ele.4,Day,20104,SMG,Gr G36c Mod,113,2,5,1075,5%,100%,8,66,45,74,109,0,0,137,1,10,4,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),6734,505,606,707,808,61
814,Ele.4,Day,126,HG,NZ75,100,0,5,365,50%,150%,8,50,66,118,63,0,0,100,0,4,0,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3659,503,603,704,804,62
814,Ele.4,Day,361,AR,QBZ-191,91,0,5,580,20%,100%,15,90,80,45,100,0,0,100,0,10,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5736,501,602,702,803,63
814,Ele.4,Day,20091,HG,MP-446 Mod,115,3,5,340,50%,150%,8,47,80,103,60,0,0,100,0,10,8,RMR (Acc) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3642,500,600,701,801,64
814,Ele.4,Day,27,SMG,Skorpion,100,0,5,795,5%,100%,8,56,44,88,119,0,0,100,0,4,0,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Red Dot (Acc) (5-Star),5562,500,600,700,800,65
814,Ele.4,Day,245,SMG,P90,100,0,5,950,5%,150%,8,41,26,143,93,0,0,100,0,10,0,T Exo (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6657,499,599,698,798,66
814,Ele.4,Day,20002,HG,M1911 Mod,115,3,5,370,40%,150%,8,41,54,126,58,0,0,100,0,8,10,Supp (Silencer) (5-Star),Sp. Eq (Exclusive) (5-Star),T Exo (Body) (5-Star),3586,493,591,690,788,67
814,Ele.4,Day,1009,HG,El Clear,100,0,5,330,40%,150%,8,48,66,123,61,0,0,100,0,10,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3586,493,591,690,788,68
814,Ele.4,Day,260,HG,PA-15,100,0,5,350,40%,150%,8,50,65,106,64,0,0,83,0,8,0,Supp (Silencer) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),3559,489,587,685,782,69
814,Ele.4,Day,130,AR,Type97,100,0,5,580,20%,100%,15,92,84,49,96,0,0,100,0,4,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5573,487,585,682,780,70
814,Ele.4,Day,135,SMG,SR-3MP,100,0,5,970,5%,100%,8,73,33,81,115,0,0,100,0,10,0,Processor Chip (Body) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6499,487,584,682,779,71
814,Ele.4,Day,20136,SMG,PP-19 Mod,115,3,5,945,5%,150%,15,27,15,138,90,0,0,100,0,10,10,T Exo (Body) (5-Star),Flare (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),6339,475,570,665,760,72
814,Ele.4,Day,215,AR,MDR,91,0,5,570,68%,150%,15,75,49,85,74,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),T Exo (Body) (5-Star),5375,470,564,658,752,73
814,Ele.4,Day,16,SMG,Thompson,100,0,5,1190,25%,150%,15,25,13,109,81,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),Flare (Ammo) (5-Star),Supp (Silencer) (5-Star),6260,469,563,657,751,74
814,Ele.4,Day,127,SMG,Type79,100,0,5,970,5%,150%,15,53,43,109,83,0,0,100,0,8,0,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Red Dot (Acc) (5-Star),6254,469,562,656,750,75
814,Ele.4,Day,1032,AR,Medusa,90,0,5,575,30%,100%,15,93,82,43,94,0,0,80,0,1,0,Red Dot (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),5308,464,557,650,743,76
814,Ele.4,Day,99,HG,Gr Mk23,100,0,5,400,40%,150%,15,25,56,115,62,0,0,100,0,10,0,Supp (Silencer) (5-Star),Flare (Ammo) (5-Star),T Exo (Body) (5-Star),3337,458,550,642,734,77
814,Ele.4,Day,202,HG,Thunder,100,0,5,430,60%,150%,15,43,60,108,36,0,0,100,0,8,0,Supp (Silencer) (5-Star),Flare (Ammo) (5-Star),T Exo (Body) (5-Star),3339,459,550,642,734,78
814,Ele.4,Day,285,HG,C-93,94,0,5,305,40%,150%,15,33,62,128,62,0,0,100,0,10,0,Supp (Silencer) (5-Star),Flare (Ammo) (5-Star),X Exo (Body) (5-Star),3323,456,548,639,731,79
814,Ele.4,Day,1019,SMG,Dorothy Haze,100,0,5,880,5%,150%,8,46,46,127,78,0,0,100,0,10,0,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),Red Dot (Acc) (5-Star),6091,456,548,639,730,80
814,Ele.4,Day,1028,SMG,Agent Vector,100,0,5,925,5%,150%,8,49,26,110,97,0,0,100,0,10,0,T Exo (Body) (5-Star),Sp. Eq (Exclusive) (5-Star),EOT (Holographic) (5-Star),5916,443,532,621,709,81
814,Ele.4,Day,341,SMG,SP9,97,0,5,1085,5%,150%,15,31,28,106,84,0,0,100,0,8,0,T Exo (Body) (5-Star),-,EOT (Holographic) (5-Star),5877,440,528,617,705,82
814,Ele.4,Day,311,SMG,Lusa,100,0,5,1025,5%,150%,15,33,28,108,90,0,0,100,0,10,0,T Exo (Body) (5-Star),-,EOT (Holographic) (5-Star),5871,440,528,616,704,83
814,Ele.4,Day,20125,MG,Gr MG4 Mod,115,3,5,925,40%,150%,615,105,79,39,139,0,15,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),MG Box (Body) (5-Star),17520,438,525,613,700,84
814,Ele.4,Day,72,AR,TAR-21,100,0,5,525,68%,180%,15,82,51,47,69,0,0,100,0,5,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Focus Chip (Body) (5-Star),4954,433,520,606,693,85
814,Ele.4,Day,181,AR,T91,92,0,5,595,68%,150%,15,66,44,81,74,0,0,100,0,8,0,Optical (Acc) (5-Star),HV (Ammo) (5-Star),T Exo (Body) (5-Star),4939,432,518,605,691,86
814,Ele.4,Day,331,HG,Kolibri,100,0,5,330,40%,150%,15,10,62,180,58,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3129,430,516,602,688,87
814,Ele.4,Day,168,HG,Spitfire,100,0,5,350,40%,150%,15,29,63,120,59,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3112,427,513,599,684,88
814,Ele.4,Day,234,SMG,JS 9,100,0,5,900,25%,150%,15,23,16,136,89,0,0,100,0,10,0,T Exo (Body) (5-Star),-,Supp (Silencer) (5-Star),5694,427,512,597,683,89
814,Ele.4,Day,310,HG,Rex Zero 1,100,0,5,350,40%,150%,15,27,59,123,61,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3103,426,511,597,682,90
814,Ele.4,Day,212,HG,K5,100,0,5,330,60%,150%,15,25,55,131,62,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3099,426,511,596,681,91
814,Ele.4,Day,346,HG,CZ100,100,0,5,365,40%,150%,15,25,57,131,58,0,0,100,0,8,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3096,425,510,595,681,92
814,Ele.4,Day,28,SMG,Gr MP7,100,0,5,990,25%,150%,15,26,14,118,91,0,0,95,0,10,0,T Exo (Body) (5-Star),-,Supp (Silencer) (5-Star),5649,423,508,593,677,93
814,Ele.4,Day,203,SMG,Honey Badger,100,0,5,990,25%,150%,15,50,14,108,82,0,0,100,0,8,0,Sp. Eq (Exclusive) (5-Star),-,Supp (Silencer) (5-Star),5625,421,506,590,675,94
814,Ele.4,Day,354,HG,ZiP .22,100,0,5,330,40%,150%,15,27,42,135,63,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (5-Star),3065,421,505,590,674,95
814,Ele.4,Day,1023,SMG,Henrietta,91,0,5,910,30%,150%,15,25,20,125,90,0,0,95,0,10,0,T Exo (Body) (5-Star),-,Sp. Eq (Exclusive) (5-Star),5603,420,504,588,672,96
814,Ele.4,Day,220,HG,MP-443,99,0,5,345,40%,150%,15,30,55,106,59,0,0,100,0,10,0,Supp (Silencer) (5-Star),-,T Exo (Body) (4-Star),2904,399,479,559,638,97
814,Ele.4,Day,20053,RF,NTW-20 Mod,119,3,5,475,88%,175%,195,206,94,36,32,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7740,387,464,541,619,98
814,Ele.4,Day,20039,RF,Mosin-Nagant Mod,119,3,5,455,90%,180%,195,187,109,51,31,0,0,200,1,10,10,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),7601,380,456,532,608,99
814,Ele.4,Day,20252,RF,KSVK Mod,119,3,5,455,88%,175%,195,200,99,36,32,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7570,378,454,529,605,100
814,Ele.4,Day,315,SMG,AUG Para,100,0,5,925,25%,100%,15,39,15,93,104,0,0,50,0,10,0,Processor Chip (Body) (4-Star),-,Supp (Silencer) (5-Star),5007,375,450,525,600,101
814,Ele.4,Day,20029,SMG,STEN MkⅡ Mod,100,1,5,950,25%,100%,15,40,17,89,102,0,0,100,0,8,0,Processor Chip (Body) (4-Star),-,Supp (Silencer) (5-Star),4962,372,446,521,595,102
814,Ele.4,Day,175,AR,ART556,100,0,5,580,68%,180%,15,66,56,52,59,0,0,100,0,1,0,Optical (Acc) (5-Star),-,Focus Chip (Body) (5-Star),4163,364,437,509,582,103
814,Ele.4,Day,261,RF,QBU-88,100,0,5,420,88%,175%,195,133,92,44,42,0,0,100,0,8,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7125,356,427,498,570,104
814,Ele.4,Day,20095,RF,Type88 Mod,118,3,5,520,90%,175%,195,145,80,45,37,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),7122,356,427,498,569,105
814,Ele.4,Day,316,RF,General Liu,100,0,5,400,88%,175%,195,146,93,32,40,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7103,355,426,497,568,106
814,Ele.4,Day,36,RF,Springfield,100,0,5,420,88%,175%,210,135,76,42,42,0,0,100,0,10,0,Sp. Eq (Exclusive) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),7091,354,425,496,567,107
814,Ele.4,Day,333,SMG,VP1915,100,0,5,1015,25%,100%,15,32,13,80,99,0,0,100,0,10,0,Processor Chip (Body) (3-Star),-,Supp (Silencer) (5-Star),4717,353,424,495,566,108
814,Ele.4,Day,20044,RF,SV-98 Mod,116,3,5,430,88%,175%,195,154,94,34,37,0,0,200,1,8,8,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),7046,352,422,493,563,109
814,Ele.4,Day,20094,SMG,Type64 Mod,100,1,5,880,25%,150%,15,29,12,111,93,0,0,100,0,1,0,Sp. Eq (Exclusive) (5-Star),-,Supp (Silencer) (5-Star),4691,351,422,492,562,110
814,Ele.4,Day,20,SMG,Vector,100,0,5,925,25%,100%,15,37,12,85,109,0,0,100,0,10,0,Processor Chip (Body) (3-Star),-,Supp (Silencer) (5-Star),4677,350,420,491,561,111
814,Ele.4,Day,59,SMG,AK-74U,100,0,5,970,25%,100%,15,42,14,81,91,0,0,100,0,8,0,Processor Chip (Body) (3-Star),-,Supp (Silencer) (5-Star),4680,351,421,491,561,112
814,Ele.4,Day,20124,RF,Super SASS Mod,115,3,5,450,88%,175%,195,141,76,32,40,0,0,100,0,10,10,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6991,349,419,489,559,113
814,Ele.4,Day,20200,RF,XM3 Mod,113,2,5,425,88%,175%,195,146,98,34,37,0,0,100,0,10,8,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6996,349,419,489,559,114
814,Ele.4,Day,50,RF,Lee Enfield,100,0,5,400,88%,175%,195,142,82,42,40,0,0,100,0,10,0,AP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),Cape (Body) (5-Star),6968,348,418,487,557,115
814,Ele.4,Day,266,RF,R93,100,0,5,405,88%,175%,195,140,102,36,39,0,0,100,0,10,0,AP (Ammo) (5-Star),Optical (Acc) (5-Star),Cape (Body) (5-Star),6957,347,417,486,556,116
